Gazepoint Analysis,v7.2.0
Processed on,Thu Jun 11 23:50:26 2026

Note: -1 values indicate an AOI that was never viewed
AOI Summary
Media ID, Media Name, Media Duration (sec - U=UserControlled), AOI ID, AOI Name, AOI Start (sec), AOI Duration (sec - U=UserControlled), Viewers (#), Total Viewers (#), Ave Time to 1st View(sec) -1.0 means not viewed, Ave Time Viewed (sec), Ave Time Viewed (%), Ave Fixations (#), Revisitors (#), Average Revisits (#), Average Clicks (#), 
0, NewMedia0, 10, 2, AOI 2, 0, 10, 2, 2, 1.750, 1.400, 14.001, 5.000, 2, 5.500, 0.000, 
1, NewMedia1, 10.000, 0, AOI 0, 6.531, 3.469, 2, 2, 6.562, 2.235, 22.354, 8.500, 2, 2.500, 0.000, 
1, NewMedia1, 10.000, 1, AOI 1, 6.531, 3.469, 1, 2, 8.326, 0.230, 2.296, 1.000, 0, 0.000, 0.000, 

AOI Statistics (for each user)
Media ID, Media Name, Media Duration (sec - U=UserControlled), AOI ID, AOI Name, AOI Start, AOI Duration (sec - U=UserControlled), User ID, User Name, User Gender, User Age, Time to 1st View (sec) -1.0 means not viewed, Time Viewed (sec), Time Viewed (%), Fixations (#), Revisits (#), Clicks (#), Ave Dial (0-1), Ave GSR (kOhm), Ave Heart Rate (BPM), Ave Interbeat Interval (s), Ave Left Pupil (mm), Ave Right Pupil (mm), 
0, NewMedia0, 10.000, 2, AOI 2, 0.000, 10.000, 4, User 4, M, 0, 0.525, 0.937, 9.374, 3.000, 4, 0, 1.000, 815880.062, 88.442, 0.678, 7.041, 5.707, 
0, NewMedia0, 10.000, 2, AOI 2, 0.000, 10.000, 5, User 5, M, 0, 2.974, 1.863, 18.627, 7.000, 7, 0, 1.000, 362668.094, 87.988, 0.681, 4.605, 5.451, 
1, NewMedia1, 10.000, 0, AOI 0, 6.531, 3.469, 4, User 4, M, 0, 6.539, 2.101, 21.008, 9.000, 4, 0, 1.000, 489055.312, 84.697, 0.715, 4.886, 5.678, 
1, NewMedia1, 10.000, 0, AOI 0, 6.531, 3.469, 5, User 5, M, 0, 6.584, 2.370, 23.699, 8.000, 1, 0, 1.000, 345993.094, 90.981, 0.657, 4.682, 5.619, 
1, NewMedia1, 10.000, 1, AOI 1, 6.531, 3.469, 4, User 4, M, 0, -1.000, 0.000, 0.000, 0.000, 0, 0, 1.000, 489055.312, 84.697, 0.715, 4.886, 5.678, 
1, NewMedia1, 10.000, 1, AOI 1, 6.531, 3.469, 5, User 5, M, 0, 8.326, 0.230, 2.296, 1.000, 0, 0, 1.000, 345993.094, 90.981, 0.657, 4.682, 5.619, 
